CP;INSEE;Nom min;Nom Maj
14790;14274;Fontaine-Étoupefour;FONTAINE-ETOUPEFOUR
14610;14275;Fontaine-Henry;FONTAINE-HENRY
14190;14276;Fontaine-le-Pin;FONTAINE-LE-PIN
14320;14277;Fontenay-le-Marmion;FONTENAY-LE-MARMION
14250;14278;Fontenay-le-Pesnel;FONTENAY-LE-PESNEL
14340;14280;Formentin;FORMENTIN
14710;14281;Formigny La Bataille;FORMIGNY LA BATAILLE
14240;14282;Foulognes;FOULOGNES
14620;14283;Fourches;FOURCHES
14700;14284;Fourneaux-le-Val;FOURNEAUX-LE-VAL
14340;14285;Le Fournet;FOURNET (LE)
14600;14286;Fourneville;FOURNEVILLE
14630;14287;Frénouville;FRENOUVILLE
14480;14288;Le Fresne-Camilly;LE FRESNE CAMILLY
14700;14289;Fresné-la-Mère;FRESNE LA MERE
14680;14290;Fresney-le-Puceux;FRESNEY-LE-PUCEUX
14220;14291;Fresney-le-Vieux;FRESNEY-LE-VIEUX
14590;14293;Fumichon;FUMICHON
14210;14297;Gavrus;GAVRUS
14230;14298;Géfosse-Fontenay;GEFOSSE-FONTENAY
14600;14299;Genneville;GENNEVILLE
14430;14300;Gerrots;GERROTS
14730;14301;Giberville;GIBERVILLE
14950;14302;Glanville;GLANVILLE
14100;14303;Glos;GLOS
14600;14304;Gonneville-sur-Honfleur;GONNEVILLE-SUR-HONFLEUR
14510;14305;Gonneville-sur-Mer;GONNEVILLE-SUR-MER
14810;14306;Gonneville-en-Auge;GONNEVILLE-EN-AUGE
14430;14308;Goustranville;GOUSTRANVILLE
14680;14309;Gouvix;GOUVIX
14190;14310;Grainville-Langannerie;GRAINVILLE-LANGANNERIE
14210;14311;Grainville-sur-Odon;GRAINVILLE-SUR-ODON
14450;14312;Grandcamp-Maisy;GRANDCAMP-MAISY
14160;14316;Grangues;GRANGUES
14470;14318;Graye-sur-Mer;GRAYE-SUR-MER
14540;14319;Grentheville;GRENTHEVILLE
14220;14320;Grimbosq;GRIMBOSQ
14400;14322;Guéron;GUERON
14880;14325;Hermanville-sur-Mer;HERMANVILLE-SUR-MER
14100;14326;Hermival-les-Vaux;HERMIVAL-LES-VAUX
14200;14327;Hérouville-Saint-Clair;HEROUVILLE SAINT CLAIR
14850;14328;Hérouvillette;HEROUVILLETTE
14430;14329;Heuland;HEULAND
14700;14332;La Hoguette;LA HOGUETTE
14600;14333;Honfleur;HONFLEUR
14100;14334;L'Hôtellerie;L'HOTELLERIE
14430;14335;Hotot-en-Auge;HOTOT EN AUGE
14250;14336;Hottot-les-Bagues;HOTTOT LES BAGUES
14340;14337;La Houblonnière;LA HOUBLONNIERE
14510;14338;Houlgate;HOULGATE
14540;14538;Castine-en-Plaine;HUBERT-FOLIE
14123;14341;Ifs;IFS
14230;14342;Isigny-sur-Mer;ISIGNY-SUR-MER
14330;14342;Isigny-sur-Mer;ISIGNY-SUR-MER
14690;14343;Les Isles-Bardel;LES ISLES BARDEL
